Site name,Region, Latitude,Longitude,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference,Radiocarbon/sites,,,,,,,,,,,,,
Abric de la Falguera,Eastern / Southern,38.67277778,-0.566388889,AA60627,5655,54,,VI,Neolithic,Bone,AMS,García Puchol et al. 2009,2,,,,,,,,,,,,,
Abric de la Falguera,Eastern / Southern,38.67277778,-0.566388889,Beta142289,6510,80,,2051b,Neolithic,Seed/Fruit,AMS,García Puchol et al. 2009,2,,,,,,,,,,,,,
Arenaza,Cantabrian,43.27471944,-3.114216667,OxA7157,6040,75,,IC2,Neolithic,Bone,AMS,Fano et al. 2015,1,,,,,,,,,,,,,
Caldeirao,Portugal,39.65251111,-8.248002778,OxA1034,6230,80,,NA II,Neolithic,Bone,AMS,Rojo et al. 2012,4,,,,,,,,,,,,,
Caldeirao,Portugal,39.65251111,-8.248002778,OxA1035,6330,80,,NA II,Neolithic,Bone,AMS,Rojo et al. 2012,4,,,,,,,,,,,,,
Caldeirao,Portugal,39.65251111,-8.248002778,OxA1037,5970,120,,Type of date Context,Neolithic,Bone,Conventional,Rojo et al. 2012,4,,,,,,,,,,,,,
Caldeirao,Portugal,39.65251111,-8.248002778,OxA1036,5870,80,,NA I,Neolithic,Bone,Conventional,Rojo et al. 2012,4,,,,,,,,,,,,,
Can Fiulà,Northern,41.52540556,-2.181525,Beta280353,6260,40,,,Neolithic,Bone,AMS,Oms et al. 2014,1,,,,,,,,,,,,,
Can Roqueta,Northern,41.54494444,-2.083127778,CR1,6400,50,,CRII-173,Neolithic,Bone,AMS,Cebrià et al. 2014,1,,,,,,,,,,,,,
Can Sadurní,Northern,41.21283611,-1.697630556,OxA15488,6421,34,,Capa 18,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,4,,,,,,,,,,,,,
Can Sadurní,Northern,41.21283611,-1.697630556,OxA15489,6391,34,,Capa 18,Neolithic,Seed/Fruit,AMS,Cebrià et al. 2014,4,,,,,,,,,,,,,
Can Sadurní,Northern,41.21283611,-1.697630556,OxA15491,6375,34,,Capa 18,Neolithic,Seed/Fruit,AMS,Cebrià et al. 2014,4,,,,,,,,,,,,,
Can Sadurní,Northern,41.21283611,-1.697630556,UBAR760,6405,50,,Capa 18,Neolithic,Seed/Fruit,Conventional,Cebrià et al. 2014,4,,,,,,,,,,,,,
Cariguela,Upper / Middle Guadiana-Guadalquivir,37.51063611,-3.380752778,Col1565,6749,39,,16,Neolithic,Bone,AMS,Medved 2013,9,,,,,,,,,,,,,
Cariguela,Upper / Middle Guadiana-Guadalquivir,37.51063611,-3.380752778,Col1560,6350,32,,14,Neolithic,Bone,AMS,Medved 2013,9,,,,,,,,,,,,,
Cariguela,Upper / Middle Guadiana-Guadalquivir,37.51063611,-3.380752778,Col1564,6316,39,,13,Neolithic,Bone,AMS,Medved 2013,9,,,,,,,,,,,,,
Cariguela,Upper / Middle Guadiana-Guadalquivir,37.51063611,-3.380752778,Col1567,6225,39,,15,Neolithic,Bone,AMS,Medved 2013,9,,,,,,,,,,,,,
