Site name,Region,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference
Abric de la Falguera,Eastern / Southern,AA60627,5655,54,,VI,Neolithic,Bone,AMS,García Puchol et al. 2009
Abric de la Falguera,Eastern / Southern,Beta142289,6510,80,,2051b,Neolithic,Seed/Fruit,AMS,García Puchol et al. 2009
Arenaza,Cantabrian,OxA7157,6040,75,,IC2,Neolithic,Bone,AMS,Fano et al. 2015
Caldeirao,Portugal,OxA1034,6230,80,,NA II,Neolithic,Bone,AMS,Rojo et al. 2012
Caldeirao,Portugal,OxA1035,6330,80,,NA II,Neolithic,Bone,AMS,Rojo et al. 2012
Caldeirao,Portugal,OxA1037,5970,120,,Type of date Context,Neolithic,Bone,Conventional,Rojo et al. 2012
Caldeirao,Portugal,OxA1036,5870,80,,NA I,Neolithic,Bone,Conventional,Rojo et al. 2012
Can Fiulà,Northern,Beta280353,6260,40,,,Neolithic,Bone,AMS,Oms et al. 2014
Can Roqueta,Northern,CR1,6400,50,,CRII-173,Neolithic,Bone,AMS,Cebrià et al. 2014
Can Sadurní,Northern,OxA15488,6421,34,,Capa 18,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Can Sadurní,Northern,OxA15489,6391,34,,Capa 18,Neolithic,Seed/Fruit,AMS,Cebrià et al. 2014
Can Sadurní,Northern,OxA15491,6375,34,,Capa 18,Neolithic,Seed/Fruit,AMS,Cebrià et al. 2014
Can Sadurní,Northern,UBAR760,6405,50,,Capa 18,Neolithic,Seed/Fruit,Conventional,Cebrià et al. 2014
Cariguela,Upper / Middle Guadiana-Guadalquivir,Col1565,6749,39,,16,Neolithic,Bone,AMS,Medved 2013
Cariguela,Upper / Middle Guadiana-Guadalquivir,Col1560,6350,32,,14,Neolithic,Bone,AMS,Medved 2013
Cariguela,Upper / Middle Guadiana-Guadalquivir,Col1564,6316,39,,13,Neolithic,Bone,AMS,Medved 2013
Cariguela,Upper / Middle Guadiana-Guadalquivir,Col1567,6225,39,,15,Neolithic,Bone,AMS,Medved 2013
Cariguela,Upper / Middle Guadiana-Guadalquivir,Col1562,5611,31,,16,Neolithic,Bone,AMS,Mednev 2013
Cariguela,Upper / Middle Guadiana-Guadalquivir,Col1563,6950,40,,12,Neolithic,Bone,AMS,Mednev 2013
Cariguela,Upper / Middle Guadiana-Guadalquivir,Col1566,6482,39,,15,Neolithic,Bone,AMS,Mednev 2013
Carrascal,Portugal,Beta276401,6280,40,,unico,Neolithic,Bone,AMS,Cardoso 2011
Carrascal,Portugal,Beta296582,6200,40,,unico,Neolithic,Bone,AMS,Cardoso 2011
Casa Montero,Upper /Middle Tagus,Beta295152,6200,40,,Pozo 15367,Neolithic,Bone,AMS,Díaz del Río y Consuegra 2011
Chaves,Upper / Middle Ebro,GrA38022,6580,35,,Ib,Neolithic,Bone,AMS,Rojo et al. 2012
Chaves,Upper / Middle Ebro,UCIAMS66317,6470,25,-19.9,Ib,Neolithic,Bone,AMS,Rojo et al. 2012
Codella,Northern,Beta221900,5720,60,,-,Neolithic,Bone,Conventional,Catalunya C14
Costamar,Eastern / Southern,OxA23578,5995,38,,Estructura 401,Neolithic,Bone,,Flors et al. 2012
Costamar,Eastern / Southern,UCIAMS60738,5965,25,,Estructura 130,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Cova Bonica,Northern,OxA6158,6158,32,-25.8,IV,Neolithic,Bone,AMS,Oms et al. 2014
Cova Colomera,Northern,Beta240551,6150,40,,Capa 13,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Cova Colomera,Northern,OxA23634,6170,30,,Capa 14,Neolithic,Seed/Fruit,AMS,Oms et al. 2014
Cova d'en Pardo,Eastern / Southern,Beta231876,5790,40,,-,Neolithic,Bone,AMS,Rojo et al. 2012
Cova d'en Pardo,Eastern / Southern,Beta231877,6240,40,,VII,Neolithic,Bone,AMS,Rojo et al. 2012
Cova d'en Pardo,Eastern / Southern,Beta231879,6610,40,,VIII,Neolithic,Bone,AMS,Rojo et al. 2012
Cova de l'Or,Eastern / Southern,UCIAMS66316,6475,25,-20,Evento K1,Neolithic,Bone,AMS,Martí 2011
Cova de l'Or,Eastern / Southern,Beta298124,6290,40,,Evento K4,Neolithic,Seed/Fruit,AMS,Martí 2011
Cova de l'Or,Eastern / Southern,Beta298125,6340,40,,Evento K3,Neolithic,Seed/Fruit,AMS,Martí 2011
Cova de l'Or,Eastern / Southern,Beta298126,6200,40,,Evento J2,Neolithic,Seed/Fruit,AMS,Martí 2011
Cova de l'Or,Eastern / Southern,H1754o1208,6265,75,,IV,Neolithic,Seed/Fruit,AMS,Martí 2011
Cova de l'Or,Eastern / Southern,OxA10191,6275,70,,Evento J3,Neolithic,Seed/Fruit,AMS,Martí 2011
Cova de l'Or,Eastern / Southern,OxA10192,6310,70,,Evento J2,Neolithic,Seed/Fruit,AMS,Martí 2011
Cova de l’Or,Eastern / Southern,Beta322891,5630,30,,III,Neolithic,Bone,AMS,Pérez Jordà 2013
Cova de la Sarsa,Eastern / Southern,OxA236022,6389,33,,-,Neolithic,Bone,AMS,García Borja et al. 2012a
Cova de la Sarsa,Eastern / Southern,OxA236025,6399,35,,-,Neolithic,Bone,AMS,García Borja et al. 2012a
Cova de la Sarsa,Eastern / Southern,OxA26075,6420,32,-18.5,-,Neolithic,Bone,AMS,García Borja et al. 2012a
